id,total,single_family_house_total,single_family_house_detached,single_family_house_semi_detached,single_family_house_terraced,multi_family_house_total,multi_family_house_detached,multi_family_house_terraced
01,195,/,/,/,/,188.0,16.0,172.0
02,141,/,/,/,/,140.0,13.0,127.0
03,206,15,11,/,/,191.0,22.0,169.0
04,173,/,/,/,/,167.0,15.0,152.0
05,124,20,/,/,/,104.0,15.0,89.0
06,142,25,12,/,/,117.0,28.0,89.0
07,174,14,/,/,/,160.0,15.0,145.0
08,164,20,11,/,/,144.0,15.0,130.0
09,148,29,21,/,/,119.0,27.0,92.0
10,142,22,17,/,/,119.0,17.0,102.0
11,153,/,/,/,/,144.0,19.0,125.0
12,127,27,16,/,/,99.0,11.0,88.0
